,user,Clase,degree,betweenness,eigenvector,closeness,pagerank,harmonic
102,1211089022103064576,0,2.0,0.0,0.007389716765238943,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
104,281644571,0,1.0,8842.225120584533,0.011496301389987118,0.31375814627081827,3.5665877195347215e-05,0.3335921637179296
105,135959915,0,10.0,0.0,1.803988971799298e-05,0.21477312155441614,8.94757953097222e-06,0.21497271806691506
107,1231257889945391104,1,1.0,0.0,0.0071622303221512106,0.27650583188570216,8.619753751276304e-06,0.2883822158728969
108,1212718019849248768,1,7.0,62.00535033257942,0.00033609680613252535,0.23337522441651706,1.0317567236272245e-05,0.2401716043754972
109,1172610671965548545,1,31.0,0.0,0.00010195482973756412,0.23085256266057327,7.04188184707963e-06,0.2369492214249557
110,202824848,1,9.0,77989.99999999965,0.0002760076031912199,0.24373582004662586,1.961481720507336e-05,0.2500381380724997
111,341154704,1,2.0,1380.094407325316,0.0003826832296295567,0.2448376099499614,1.6608752868584316e-05,0.2510613152521203
112,2693592596,1,6.0,0.0,0.007389716765238947,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
113,148031006,1,2.0,1410.4034008704862,0.007425692788155705,0.28175190919665627,1.130015368392575e-05,0.3028162947381994
116,378996603,1,5.0,77990.9999999998,0.0003415162245938475,0.25681602655286867,2.8090733207232064e-05,0.26077512715695
117,837186873143488514,1,52.0,0.0,0.0006185350175532672,0.24383487982392515,8.068652165474823e-06,0.2448955405676228
118,1002260764747616260,1,1.0,0.0,0.00036209846064963296,0.24417228619193418,9.234256321683859e-06,0.24918301767982118
119,1241874768569274368,1,2.0,0.0,0.009731960881970526,0.27076173217521715,8.661746981188381e-06,0.28654820831829103
120,3017809004,1,15.0,0.0,0.010008574200116275,0.2847535596933187,8.848769481303885e-06,0.2983786383720994
121,33524608,1,1.0,0.0,0.016894191204121733,0.2870782753366068,1.351265651133946e-05,0.3069808825060152
123,2687724840,1,3175.0,164737.1614085777,0.02072993500094921,0.30695181272924765,2.876817179139737e-05,0.32538511975050466
124,60939248,1,6.0,0.0,0.010008574200116277,0.2847535596933187,8.848769481303885e-06,0.2983786383720994
125,1014284625592639489,1,53.0,0.0,0.005004827192851192,0.268020618556701,8.95388826531035e-06,0.278221874442958
126,1351621913446141953,1,9.0,0.0,0.0004193800814985057,0.25404053235357343,7.8474274972956e-06,0.26237866110554453
128,1190413307183869954,1,30.0,0.0,0.009731960881970526,0.27076173217521715,8.661746981188381e-06,0.28654820831829103
130,3421061763,1,129.0,0.0,0.007695604441973345,0.28188021337805214,1.0763266732539166e-05,0.3030043229131115
131,2381191612,1,5.0,0.0,6.998681549797873e-06,0.19865414200279155,7.194206426710579e-06,0.2000178974744789
132,176605247,1,31.0,0.0,0.003421576953187544,0.261326703612617,8.182095462122652e-06,0.2676226610145385
133,1253116205788991489,1,1.0,18328.987846962933,0.013695619592743678,0.28918369768338625,1.889021867057107e-05,0.31091287290060493
134,73102744,1,5362.0,16.51871461871462,0.007687563753878834,0.28177837509754616,1.4603495040242798e-05,0.3028853919516973
135,770043118435598337,1,2.0,29.44542411354255,0.00027885383252448416,0.24397827800648156,9.93140199045268e-06,0.24953628092286068
136,990727302114930688,1,2.0,0.0,0.009731960881970524,0.27076173217521715,8.661746981188381e-06,0.28654820831829103
137,732703538074226688,1,4.0,0.0,1.4756484100478521e-09,0.14785087902213764,1.1822243257208796e-05,0.146863555745685
138,180986917,1,17.0,2771.9800417594383,0.010339145335118868,0.2852325921591574,1.3374241250210021e-05,0.29903377567514017
139,26952449,1,6.0,0.0,0.0001300750171426644,0.24063606856804354,6.920647674490261e-06,0.2454344190670025
140,1255347170,1,1.0,0.0,0.0008204733761134333,0.24208206592587994,8.361105489803714e-06,0.24268167781203176
141,983848121754058752,1,1.0,120324.76732958056,0.028779904747279803,0.30332752559036746,0.00023438164994996028,0.3181488168523177
143,1163194886352461824,1,7.0,0.0,5.222051109898313e-06,0.1973901995819055,9.842538220436631e-06,0.19996251999636597
144,33024510,1,1.0,0.0,0.0032199799131577855,0.2549590072832355,9.049456139387932e-06,0.26223624905633436
145,367933714,1,3849.0,0.0,1.3781955899506525e-05,0.20866843245846375,9.337384006891534e-06,0.20961187108071375
148,146631761,1,7.0,0.0,0.00039170459733686865,0.2543636505948654,6.908010008453184e-06,0.2577915134663543
149,867223140,1,12.0,67.45684403494074,0.00028958383152559913,0.23868310238456641,1.2928742840294809e-05,0.2443366707387824
151,441003091,1,4.0,5778.413205617327,0.01843497834615501,0.3029528522486269,1.8447064766486433e-05,0.3216794152520529
153,910956876686381058,1,4.0,0.0,0.007389716765238939,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
155,707321641202814978,1,3.0,0.0,0.00013531074582251998,0.2289564068692206,6.9308465837072275e-06,0.23538206072815615
156,992317206,1,10.0,50147.5250360558,0.012844262327712245,0.30537262241294255,8.58872681936626e-05,0.3272164352059267
157,71009257,1,7.0,921.0780973249947,0.0075990947173032,0.2845935472571099,1.104701123588687e-05,0.3056295982550292
158,169360051,1,2.0,0.0,0.009731960881970524,0.27076173217521715,8.661746981188381e-06,0.28654820831829103
159,1349480766749757448,1,1.0,905706.3980305835,0.024744966047870486,0.35448273354482734,2.0571482992334323e-05,0.3754271763231384
160,539465072,1,6.0,455.58804829668117,0.0034347882545437826,0.2613477197332708,1.220569801884902e-05,0.26766453811362817
162,1169225200740831233,1,9.0,0.0,0.0032199799131577868,0.2549590072832355,9.049456139387932e-06,0.26223624905633436
163,179669951,1,5.0,0.0,6.651357753210367e-05,0.2146572650560629,8.274632484043454e-06,0.21609647007954533
164,910597284320116738,1,2.0,0.0,0.002627922177743657,0.27319154302046994,7.833497035719092e-06,0.28196643490687506
165,268488742,1,31.0,0.0,0.0006244989784614439,0.25862309085000695,7.537866065880401e-06,0.2676419244801988
166,4696317872,1,3.0,0.0,0.00021793467286640358,0.2438440278628866,6.688618924459874e-06,0.24967384719336647
169,1442236609,1,7.0,0.0,0.009731960881970522,0.27076173217521715,8.661746981188381e-06,0.28654820831829103
170,1954572703,1,1.0,56.614473777074195,0.000739301425952268,0.24802518603319978,2.0525787109752932e-05,0.25703424589527235
171,1061643374,1,2.0,0.0,0.0036184497441075704,0.25873977401654735,1.022963252558975e-05,0.2691019396276564
177,1345902409692930048,1,7.0,0.0,0.0005347885355495312,0.2797529376318168,7.895184980917892e-06,0.2836534239314587
178,206371045,1,43.0,0.0,0.002627922177743657,0.27319154302046994,7.833497035719092e-06,0.28196643490687506
179,2846083090,1,1.0,0.0,0.005004827192851193,0.268020618556701,8.95388826531035e-06,0.278221874442958
