,comunidad_1
901,1332415014720954371
902,3332130657
903,194198276
904,1339242699975745537
905,224006928
906,488475200
907,1009793282
908,1199236028
909,2375026058
910,70570712
911,719327364132507648
912,4582729756
913,202231385
914,242461059
915,2653120485
916,135989736
917,870727776340455424
918,206778115
919,3885882688
920,499887525
921,759887521367162880
922,148124989
923,142953046
924,608732489
925,1277609374446387200
926,183462520
927,2728254677
928,357179501
929,839095743612923906
930,985249877616680964
931,1305635524879831040
932,1125146496704421890
933,1716505904
934,67210156
935,226718943
936,889448978584129536
937,889336992231809024
938,923564355207270400
939,210106528
940,3411478462
941,137440153
942,2927471464
943,279316676
944,188820390
945,1067239279406080000
946,238258846
947,1055200613120774149
948,3384469000
949,824508079
950,241079233
951,1080467688634413056
952,2429605466
953,869334331
954,150628274
955,2785640831
956,1049669440902782976
957,305343348
958,182484804
959,628609766
960,1241848259938856961
961,1023693307896061952
962,155322693
963,114157858
964,202392790
965,10637792
966,2784649609
967,1407604644
968,1297251510846464005
969,1114969580408115201
970,1220025642038767616
971,486552996
972,186535064
973,1329428006
974,739141263996358656
975,103723500
976,1118632026385584128
977,1282043981866700800
978,1212226157812170754
979,177019042
980,161710182
981,716800940540575749
982,298616219
983,1900739514
984,779340061263425537
985,625235615
986,4220156140
987,442463968
988,1061634388776153088
989,1148240546814672896
990,3381003869
991,724516251247190016
992,49970054
993,55397803
994,136008998
995,1243621077827358722
996,765898057
997,1072764416729464833
998,1849671619
999,280562930
1000,1131636208608645120
1001,179266210
1002,253525938
1003,60939248
1004,73220893
1005,3034546175
1006,208693643
1007,260984406
1008,2793240117
1009,4314442757
1010,983864539094638592
1011,3312489561
1012,1306616913817202690
1013,28388192
1014,175651918
1015,460821768
1016,1025577048562126848
1017,764470296
1018,1230594191924899841
1019,1369655120
1020,1118228331789520899
1021,4774564433
1022,1165677762801262594
1023,758924981254230017
1024,2993727526
1025,1137788859713040386
1026,202884758
1027,392359254
1028,548045235
1029,75129598
1030,66257573
1031,1268972367302340608
1032,869410580473499648
1033,2713609511
1034,142793916
1035,3264791584
1036,156054421
1037,1730667439
1038,136706767
1039,1380090487
1040,1061623291
1041,1226991031197020167
1042,896705592
1043,201288108
1044,833765075194433536
1045,2188580918
1046,294843211
1047,808146171093012484
1048,65418057
1049,156049196
1050,3330215751
1051,2514017977
1052,2884926795
1053,4504567787
1054,150880129
1055,1211340891375333376
1056,472959699
1057,792073504514514944
1058,114597566
